question,answer,level,correctness,clarity,terminology,efficiency,keywords
13. What are cell references in Excel?,"Cell referencesspecify a cell’s location in a formula. Relative references (e.g., A1) adjust when copied, absolute references (e.g., $A$1) remain fixed, and mixed references (e.g., $A1) partially adjust.",,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
14. How do you delete a worksheet?,"Right-click the sheet tab and selectDelete.Deleting a sheetpermanently removes its data, so it’s recommended to back up your workbook first.",,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
15. How do you adjust column width?,Drag the boundary of a column header to resize it manually or double-click the boundary to auto-adjust based on the longest cell content.,,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
16. What is a formula in Excel?,"A formula is an expression that calculates the value of a cell. It begins with=and can include operators, cell references, and functions (e.g.,=A1+B1).",,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
17. What is conditional formatting in Excel?,"Conditional formattinghighlights cells based on rules you set. For example, you can apply red shading to cells with values less than 50 usingHome > Conditional Formatting.",,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
18. What is a Pivot Table?,"APivot Tablesummarizes and analyzes large datasets by grouping, filtering, and aggregating data dynamically. It’s a powerful tool for creating reports and visual summaries.",,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
19. How do you apply filters in Excel?,"To filter data, select your dataset and clickData > Filter. Dropdown arrows appear, allowing you to filter rows based on specific criteria.",,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
20. What is the VLOOKUP function?,"VLOOKUPsearches for a value in the first column of a table and returns a value from a specified column in the same row. For example,=VLOOKUP(""Apple"", A1:C10, 2, FALSE)looks for ""Apple"" in column A and returns the corresponding value from column B.",,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
21. What is the difference between COUNT and COUNTA?,"COUNT counts numeric values, while COUNTA counts all non-empty cells, including text. For example,=COUNT(A1:A10)returns the count of numbers, and=COUNTA(A1:A10)includes text and numbers.",,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
22. How do you create a chart in Excel?,"Select your data, go toInsert > Chart, and choose a chart type.Chartsvisually represent data trends and patterns, making analysis more accessible.",,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
23. What is the CONCATENATE function?,"CONCATENATEcombines text from multiple cells into one. For example,=CONCATENATE(""Hello"", "" World"")results in ""Hello World.""",,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
24. How do you remove duplicates in Excel?,"Select your data, then go toData > Remove Duplicates. This helps clean datasets by eliminating redundant entries based on selected columns.",,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
25. What is data validation?,"Data validationrestricts data entry to specified types or ranges. For instance, you can limit a cell to accept only whole numbers between 1 and 100.",,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
26. What is Power Query?,"Power Query automates data import, transformation, and cleaning tasks. It’s especially useful for consolidating data from multiple sources into one table.",,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
27. What is the XLOOKUP function?,"XLOOKUPis an improved lookup function that can search in any direction and return a value or array. For example,=XLOOKUP(""Apple"", A1:A10, B1:B10)searches for ""Apple"" in column A and returns the corresponding value from column B.",,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
28. What is the purpose of macros in Excel?,Macrosautomate repetitive tasks by recording a series of steps. They are written in VBA (Visual Basic for Applications) and can save hours of manual work.,,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
29. What is the IF function?,"TheIF functionperforms logical tests and returns different values based on the result. For instance,=IF(A1>10, ""Pass"", ""Fail"")returns ""Pass"" if A1 is greater than 10 and ""Fail"" otherwise.",,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
30. How do INDEX and MATCH work together?,"INDEXreturns the value of a cell at a specified row and column, while MATCH finds the position of a value in a range. Combined, they perform advanced lookups. For example,=INDEX(A1:C10, MATCH(""Apple"", A1:A10, 0), 2)finds ""Apple"" in column A and returns the corresponding value from column B.",,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
31. What are array formulas?,"Array formulas perform multiple calculations on a range of cells and return a single result or an array of results. For example,=SUM(A1:A10*B1:B10)calculates the sum of products for corresponding rows in two ranges.",,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
32. What is a slicer in Excel?,A slicer is a visual filtering tool used withPivot Tablesor Pivot Charts. It allows users to filter data dynamically by clicking on buttons corresponding to filter criteria.,,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
33. What is the TEXT function?,"The TEXT function converts a number to text in a specified format. For example,=TEXT(A1, ""MM/DD/YYYY"")converts a date into a readable format like 01/01/2025.",,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
34. What is the ROUND function?,"The ROUND function rounds a number to a specified number of digits. For instance,=ROUND(12.345, 2)returns 12.35, rounding to two decimal places.",,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
35. What is the TRIM function?,"The TRIM function removes all extra spaces from text except for single spaces between words. For example,=TRIM("" Excel Tips "")returns ""Excel Tips.""",,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
36. How do you use Goal Seek in Excel?,"Goal Seek finds the input value needed to achieve a desired result in a formula. Navigate toData > What-If Analysis > Goal Seek, set your target value, and let Excel calculate the required input.",,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
37. What is Solver in Excel?,"Solver is an advanced optimization tool used to find the best solution for a problem with multiple constraints. It’s often used for resource allocation, portfolio optimization, and scheduling.",,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
38. What is the PMT function?,"The PMT function calculates loan payments based on constant interest rates and payment schedules. For example,=PMT(5%/12, 60, -10000)calculates the monthly payment for a loan.",,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
39. How do you create a dependent drop-down list?,Dependent drop-down lists change their options based on the selection in another list. Use Data Validation combined with theINDIRECTfunction to reference the appropriate range dynamically.,,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
40. What is a dynamic chart in Excel?,"Adynamic chartupdates automatically when its source data changes. You can create one using named ranges or Excel tables, ensuring the chart adapts to data additions or removals.",,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
41. How do you use Power Pivot in Excel?,"Power Pivotenables advanced data modeling and analysis. It allows users to create relationships between tables, build complex calculations using DAX formulas, and handle large datasets efficiently.",,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
42. What is the NETWORKDAYS function?,"The NETWORKDAYS function calculates the number of working days between two dates, excluding weekends and holidays. For example,=NETWORKDAYS(A1, A2, Holidays)returns the count of workdays between A1 and A2.",,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
43. How do you split text into columns?,"UseData > Text to Columnsto split text based on delimiters (e.g., commas, spaces) or fixed widths. This is useful for separating names, addresses, or other concatenated data.",,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
44. How do you compare two datasets in Excel?,"You can use conditional formatting to highlight matching or non-matching values between datasets. Alternatively, use formulas like=IF(A1=B1, ""Match"", ""No Match"").",,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
45. How do you calculate CAGR (Compound Annual Growth Rate) in Excel?,"CAGR is calculated using the formula=(Ending Value / Starting Value)^(1/Number of Years) - 1. For example,=(20000 / 10000)^(1/5) - 1calculates a 14.87% CAGR over five years.",,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
46. What is the UNIQUE function?,"The UNIQUE function, available in Excel 365, extracts unique values from a range. For example,=UNIQUE(A1:A10)generates a list of unique items from the specified range.",,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
47. How do you calculate a weighted average in Excel?,"Use theSUMPRODUCTfunction to calculateweighted averages. For example,=SUMPRODUCT(A1:A5, B1:B5)/SUM(B1:B5)computes the average when weights are in column B.",,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
48. How do you normalize data in Excel?,"To normalize data, subtract the mean and divide by the standard deviation:=(Value - MEAN) / STDEV. This scales the data for comparison across datasets.",,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
49. How do you highlight duplicates in Excel?,UseConditional Formatting > Highlight Cells Rules > Duplicate Valuesto identify duplicate entries in a dataset.,,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
50. How do you use the DATEDIF function?,"DATEDIF calculates the difference between two dates in years, months, or days. For example,=DATEDIF(A1, B1, ""Y"")returns the number of years between two dates.",,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
51. What is the FILTER function?,"The FILTER function dynamically returns rows or columns based on criteria. For example,=FILTER(A1:A10, B1:B10=""Yes"")filters rows where column B equals ""Yes.""",,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
52. What is the SORT function?,"The SORT function sorts data dynamically based on specified criteria. For example,=SORT(A1:A10, 1, -1)sorts the range A1:A10 in descending order.",,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
53. How do you use Excel for regression analysis?,"Excel’sData Analysis ToolPakoffers regression tools to calculate coefficients, R², and statistical significance for predictive modeling.",,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
54. What is XLOOKUP?,"XLOOKUP replaces VLOOKUP and HLOOKUP, allowing flexible searches in any direction. For example,=XLOOKUP(""Apple"", A1:A10, B1:B10)returns the value associated with ""Apple"" in column B.",,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
55. How do you automate Excel reports?,You can automate reports using macros (VBA) or Power Query for data refreshes. Use dynamic ranges and Pivot Tables to handle recurring updates.,,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
56. How do you connect Excel to external data sources?,"UseData > Get Datato import data from databases, web sources, or APIs. This feature allows integration with tools like SQL Server and Power BI.",,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
57. How do you use Excel with Power BI?,Excel integrates seamlessly withPower BIfor advanced data visualization. Publish Excel files directly to Power BI or connect to datasets using Analyze in Excel.,,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
58. How do you use Excel 365 Copilot for automation?,"Excel 365 Copilot automates tasks, generates insights, and creates formulas based on natural language prompts. For instance, asking “Summarize quarterly sales data” generates an immediate summary.",,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
59. What is the LET function?,"The LET function allows you to assign names to intermediate calculations within a formula, improving readability and performance. For example,=LET(x, A1+A2, x^2)calculates the square of the sum of A1 and A2.",,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
60. What is the TEXTAFTER function?,"TEXTAFTER extracts text that appears after a specified delimiter. For example,=TEXTAFTER(""Excel 365"", "" "")returns ""365.""",,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
61. What is the TEXTBEFORE function?,"TEXTBEFORE extracts text that appears before a specific delimiter in a string. For example,=TEXTBEFORE(""Excel 365"", "" "")returns ""Excel.""",,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
62. How do you use the WRAPCOLS function?,"The WRAPCOLS function organizes a single row or column of data into multiple columns with a specified number of entries per column. For example,=WRAPCOLS(A1:A10, 3)groups the range A1:A10 into columns of three values each.",,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
63. What is the WRAPROWS function?,"The WRAPROWS function reshapes a single column or row of data into multiple rows with a fixed number of entries per row. For example,=WRAPROWS(A1:A12, 4)organizes the range A1:A12 into three rows of four values.",,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
64. How do you create dependent drop-down lists in Excel?,"Use the INDIRECT function to reference named ranges dynamically. For example, a drop-down list for states changes based on the country selected in another drop-down list.",,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
65. How do you calculate ROI (Return on Investment) in Excel?,"ROI is calculated using the formula(Revenue - Cost) / Cost. For example,=(10000 - 5000) / 5000results in an ROI of 100%.",,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
66. How do you split names into first and last names?,"UseText to Columnsor formulas like=LEFT(A1, FIND("" "", A1)-1)for the first name and=RIGHT(A1, LEN(A1)-FIND("" "", A1))for the last name.",,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
67. How do you calculate the rank of a value in Excel?,"Use the RANK function, such as=RANK(A1, A1:A10)to find the position of a value within a range.",,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
68. What is the MAKEARRAY function in Excel?,"MAKEARRAY creates an array based on a custom formula. For example,=MAKEARRAY(3, 3, LAMBDA(row, col, row*col))generates a 3x3 array with the product of row and column numbers.",,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
69. How do you handle circular references in Excel?,"Enable iterative calculations inFile > Options > Formulas. Alternatively, redesign formulas to avoid self-references.",,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
70. How do you calculate moving averages?,"UseAVERAGEwith dynamic ranges or the Analysis ToolPak for a built-in Moving Average feature. For example,=AVERAGE(A1:A3)calculates a 3-period moving average.",,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
71. How does Copilot simplify data cleaning?,"Copilot can suggest and apply data cleaning methods like removing duplicates, filling missing values, or reformatting text. For example, you can ask, “Standardize product names in this dataset.”",,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
72. How does Copilot enhance data analysis?,Copilot provides insights and visualizations based on natural language queries like “Show the sales trend for the last 6 months” or “Highlight regions with the highest revenue.”,,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
73. How does Copilot assist with complex formulas?,"Copilot generates complex formulas based on descriptions. For example, you can type “Calculate profit margin” and get the formula=(Revenue - Cost) / Revenue.",,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
74. How does Copilot improve report generation?,"You can ask Copilot to “Create a monthly sales report” or “Summarize this dataset,” and it generates summaries, charts, and insights automatically.",,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
75. How does Copilot integrate with Power BI?,"Copilot works with Power BI to connect Excel data, generate interactive dashboards, and export insights into Excel for further analysis.",,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
76. How do you connect Excel to Power BI?,"Save your Excel file to OneDrive or SharePoint, then import it into Power BI Desktop or Power BI Service usingGet Data.",,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
77. How do you use Analyze in Excel with Power BI?,Analyze in Excel allows you to connect directly to Power BI datasets and analyze data using Excel Pivot Tables. Download the connection file from Power BI Service and open it in Excel.,,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
78. How do you export Power BI visuals to Excel?,"Click on a visualization in Power BI, then selectExport Datato download the data as an Excel or CSV file for further analysis.",,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
79. How do you refresh Excel data connected to Power BI?,UseData > Refresh Allto sync Excel files with live Power BI datasets. Ensure the dataset is stored in the cloud for automatic updates.,,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
80. How do you combine multiple Excel files into Power BI?,Use Power BI Desktop’sGet Data > Folderoption to load all Excel files in a folder. Power Query consolidates data from these files based on a common structure.,,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
81. How do you use Power Query in Excel and Power BI?,"Power Query is used to clean and transform data before analysis. In Excel, it’s found underData > Get & Transform; in Power BI, it’s part of the data preparation process.",,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
82. How do you schedule data refreshes for Power BI-integrated Excel files?,"Ensure Excel files are stored in OneDrive or SharePoint. In Power BI, go toDataset > Schedule Refreshto set up periodic updates.",,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
83. How do you use Excel to create a project timeline?,"Create a Gantt chart by organizing tasks, start dates, and end dates. Use conditional formatting to visualize progress and highlight overdue tasks.",,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
84. How do you track expenses by category?,Use a Pivot Table to summarize expenses by category. Add slicers for interactivity and visualize spending trends using bar or pie charts.,,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
85. How do you calculate employee turnover rates in Excel?,Divide the number of employees who left during a period by the average number of employees. Formula:(Leavers / Average Employees) * 100.,,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
86. How do you clean messy datasets in Excel?,"UseTRIMto remove extra spaces,CLEANfor non-printable characters, andText to Columnsfor splitting concatenated data.",,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
87. How do you reconcile financial data?,"UseVLOOKUP,XLOOKUP, orINDEX-MATCHto compare two datasets for discrepancies. Highlight mismatches using conditional formatting.",,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
88. How do you perform scenario analysis in Excel?,"UseWhat-If Analysis > Scenario Managerto evaluate multiple scenarios by varying input values, such as sales growth or cost reductions.",,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
89. How do you calculate the weighted average in Excel?,"Use theSUMPRODUCTfunction. For example,=SUMPRODUCT(Scores, Weights) / SUM(Weights)calculates a weighted test score.",,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
90. How do you identify outliers in a dataset?,Use statistical formulas like=QUARTILEand calculate the interquartile range (IQR). Highlight values outside the range with conditional formatting.,,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
91. What is the purpose of dynamic named ranges in Excel?,"Dynamic named ranges automatically adjust their size when new data is added. Use theOFFSETfunction to define them, such as=OFFSET(A1, 0, 0, COUNTA(A:A)).",,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
92. How do you create a dependent drop-down list?,UseData Validation > Listand theINDIRECTfunction to create a drop-down list where options depend on another cell's selection.,,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
93. How do you visualize task dependencies in Excel?,Use a Gantt chart to show relationships between tasks. Add arrows to indicate dependencies and use conditional formatting for critical paths.,,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
"94. What is the RANK function, and how is it used?","The RANK function returns the rank of a number within a dataset. For example,=RANK(A1, A1:A10)ranks the value in A1 among the range A1:A10.",,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
95. How do you compare year-over-year (YoY) performance in Excel?,Calculate the percentage change using=((Current Year - Previous Year) / Previous Year) * 100. Use a Pivot Table to summarize YoY changes by category.,,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
96. How do you normalize data in Excel?,Subtract the mean and divide by the standard deviation using=(Value - MEAN) / STDEV. This standardizes data for comparison across variables.,,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
97. How do you protect sensitive data in Excel?,Encrypt the workbook usingFile > Info > Protect Workbook. Lock specific cells withFormat Cells > Protectionand enable sheet protection.,,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
98. How do you create a performance dashboard in Excel?,"Combine Pivot Tables, slicers, and interactive charts to track KPIs. Use Excel tables to enable automatic updates as new data is added.",,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
99. What is the difference between absolute and relative cell references?,"Absolute references ($A$1) remain constant when copied, while relative references (A1) adjust relative to their new location.",,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
100. How do you use Excel to calculate depreciation?,"UseSLNfor straight-line depreciation (=SLN(Cost, Salvage, Life)) orDBfor declining balance depreciation.",,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
101. How do you use Solver for optimization problems?,Solver finds the optimal solution by adjusting input values within defined constraints. Use it for resource allocation or cost minimization problems.,,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
102. How do you calculate the correlation between two datasets?,"Use theCORRELfunction to calculate the correlation coefficient. For example,=CORREL(A1:A10, B1:B10)measures the strength of the relationship between two variables.",,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
103. How do you export Excel charts into PowerPoint?,Copy the chart in Excel (Ctrl + C) and paste it into PowerPoint (Ctrl + V). Use thePaste Specialoption to link the chart for real-time updates.,,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
104. How do you create a Histogram in Excel?,Use theData Analysis ToolPakorInsert > Chart > Histogramto group data into intervals and display the frequency distribution.,,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
105. How does Excel 365 Copilot help with insights?,"Excel Copilot uses AI to generate summaries, identify trends, and create visualizations based on natural language queries. For example, ask “What are the sales trends for the last 6 months?” for instant analysis.",,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
106. How do you automate repetitive tasks with Copilot?,"Use Copilot to perform common tasks like cleaning data, formatting tables, or creating formulas. For example, prompt it to “Remove duplicates and highlight outliers in this dataset.”",,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
107. How do you use the IMAGE function in Excel 365?,"The IMAGE function embeds images directly into cells using a URL. For example,=IMAGE(""https://example.com//logo.jpg"")displays the image in the cell.",,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
108. How do you analyze multiple datasets using Copilot?,"Copilot can consolidate data from multiple sheets or files, identify patterns, and suggest charts or Pivot Tables for better visualization.",,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
109. How does Excel 365 Copilot simplify report generation?,"With Copilot, you can generate automated reports by providing prompts like “Create a quarterly performance report” or “Summarize sales by region.”",,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
110. How do you use the UNIQUE function in Excel 365?,"The UNIQUE function extracts unique values from a dataset dynamically. For example,=UNIQUE(A1:A10)generates a list of distinct items from the range A1:A10.",,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
111. How do you use the SEQUENCE function in Excel 365?,"The SEQUENCE function generates a numeric array in rows and columns. For example,=SEQUENCE(5, 2)creates a 5x2 array with sequential numbers starting from 1.",,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
112. How do you use the SORTBY function?,"SORTBY sorts a dataset based on one or more criteria. For example,=SORTBY(A1:A10, B1:B10, 1)sorts A1:A10 based on the ascending order of B1:B10.",,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
113. How do you use the RANDARRAY function?,"RANDARRAY generates an array of random numbers within a specified range. For example,=RANDARRAY(5, 1, 1, 100, TRUE)creates 5 random integers between 1 and 100.",,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
114. How do you use the TEXTJOIN function?,"TEXTJOIN combines text from multiple ranges or arrays with a specified delimiter. For example,=TEXTJOIN("", "", TRUE, A1:A5)joins text in A1 through A5, separated by commas.",,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
115. How do you use the TOROW function?,"The TOROW function converts a range of cells into a single row. For example,=TOROW(A1:C3)consolidates the range A1:C3 into a horizontal array.",,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
116. How do you use the TOCOL function?,"The TOCOL function converts a range of cells into a single column. For example,=TOCOL(A1:C3)consolidates the range A1:C3 into a vertical array.",,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
117. How do you create interactive slicers for Pivot Tables?,Interactive slicers are created by selecting the Pivot Table and navigating toInsert > Slicer. Slicers allow filtering data with clickable buttons.,,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
118. How do you create a Gantt chart in Excel?,Create a Gantt chart by using bar charts to represent task durations. Adjust bar start and end dates using conditional formatting or chart customization.,,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
119. How do you create a cumulative sum in Excel?,Use a running total formula like=SUM($A$1:A1)and drag it down to calculate the cumulative total for each row.,,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
120. How do you use the SUBSTITUTE function?,"SUBSTITUTE replaces occurrences of a specified text within a string. For example,=SUBSTITUTE(A1, ""old"", ""new"")replaces all instances of ""old"" with ""new"" in cell A1.",,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
121. How do you calculate working days between two dates?,"Use theNETWORKDAYSfunction to calculate the number of working days between two dates. For example,=NETWORKDAYS(A1, B1)excludes weekends and optionally holidays.",,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
122. How do you calculate a percentage difference between two values?,Use the formula=((New Value - Old Value) / Old Value) * 100to calculate the percentage change.,,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
123. How do you identify duplicates in Excel?,Use conditional formatting with the ruleHighlight Cells Rules > Duplicate Valuesto easily spot duplicate entries.,,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
124. How do you transpose data from rows to columns?,Use the TRANSPOSE function orPaste Special > Transposeto switch rows to columns or vice versa.,,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
125. How do you use the LAMBDA function in Excel 365?,"LAMBDA creates custom reusable functions. For example,=LAMBDA(x, x^2)(5)calculates the square of 5 and returns 25.",,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
126. How do you apply conditional formatting based on another cell’s value?,"Use a custom formula in conditional formatting. For example, apply=A1>100to format cells where the value is greater than 100.",,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
127. How do you group data in a Pivot Table?,"Right-click a value in the Pivot Table and selectGroup. Grouping can be used to organize dates into months, quarters, or years.",,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
128. How do you remove extra spaces from text in Excel?,"Use theTRIMfunction to remove unnecessary spaces, leaving only single spaces between words.",,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
129. How do you use the DAX language in Power Pivot?,"DAX (Data Analysis Expressions) is used in Power Pivot to create calculated columns and measures. For example,=SUM(Sales[Amount])calculates the total sales.",,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
130. How do you use the AVERAGEIF function?,"AVERAGEIF calculates the average of a range based on a condition. For example,=AVERAGEIF(A1:A10, "">50"")returns the average of numbers greater than 50.",,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
131. How do you highlight top 10 values in Excel?,Use conditional formatting with the ruleTop/Bottom Rules > Top 10 Itemsto automatically highlight the highest values in a dataset.,,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
132. How do you automate repetitive tasks in Excel?,Automate tasks using VBA macros or Excel’s built-in Power Automate tools to streamline recurring workflows.,,0.0,10.0,0.0,10.0,interview evaluator evaluate following four
